RA,DEC
0.6012259999999969,16.914007
0.6080329999999776,62.535793
0.6091129999999794,70.689674
0.6200590000000261,64.134003
0.6430340000000001,64.499413
0.667412000000013,62.534988
0.6882209999999986,71.384674
0.6949030000000107,1.465073
0.7037199999999757,62.993919
0.7058809999999767,73.287109
0.7482160000000135,64.374329
0.7599460000000136,56.788574
0.7821309999999926,69.689453
0.7962860000000092,56.20364
0.7974379999999996,16.179874
0.8002629999999726,57.721729
0.8065040000000181,57.566372
0.8112909999999829,69.953316
0.8147440000000188,15.939857
0.8179959999999937,0.706513
0.8244569999999953,75.872101
0.8440420000000017,63.851524
0.8537699999999973,56.940212
0.8643000000000143,55.955872
0.9203620000000114,70.716743
0.9237239999999929,56.974792
0.9415250000000128,71.118774
0.9446780000000103,70.027802
0.9868490000000065,74.970612
1.0017680000000269,56.134872
1.0252649999999903,1.51902
1.0291770000000042,56.19212
1.0378939999999943,74.78434
1.0467409999999973,71.125237
1.0562439999999924,0.646679
1.0573729999999841,15.738812
1.062607000000014,56.248112
1.0657289999999762,73.571686
1.078066999999976,56.160255
1.0926529999999843,73.872002
1.0960680000000025,56.241535
1.1018970000000081,68.294334
1.108179000000007,70.199631
1.142308000000014,71.338799
1.1519349999999804,16.297689
1.1693030000000135,71.791084
1.2057480000000282,69.700035
1.2246700000000033,73.385124
1.2494029999999725,70.94326
1.255156999999997,-0.188197
1.275496999999973,74.105217
1.3063020000000165,76.015808
1.3204700000000003,0.128146
1.3742550000000051,70.375511
1.3746399999999994,75.464272
1.4796739999999886,76.074203
1.5216950000000224,70.59243
1.5406300000000215,75.296028
1.5575069999999869,73.812096
1.5788469999999961,57.816875
1.624413000000004,58.201904
1.632407999999998,1.642969
1.6485099999999875,69.692001
1.6955500000000256,75.142418
1.7029249999999934,80.968781
1.725168999999994,69.449005
1.7627039999999852,59.286446
1.7759130000000027,58.053082
1.7840059999999767,68.732216
1.7931009999999787,70.926765
1.7953519999999799,69.24453
1.7982559999999808,74.083565
1.8225810000000138,74.303665
1.8292920000000095,58.898308
1.8379370000000108,0.266823
1.8629210000000285,57.411629
1.865224000000012,58.611561
1.8678199999999947,71.641853
1.8783379999999852,59.219746
1.8819619999999873,74.110321
1.8933119999999803,79.860443
1.896868999999981,74.130058
1.9121400000000222,71.551025
1.9152540000000045,58.518906
1.9211900000000242,71.652229
1.9234609999999748,75.750549
1.9532580000000053,67.80864
1.9558739999999943,69.597816
1.9676989999999819,70.946442
2.028931,74.201111
2.0356560000000172,71.570183
2.0538700000000176,58.005215
2.0540260000000217,68.734947
2.0727099999999723,73.885742
2.0742910000000165,58.785007
2.074481999999989,73.638489
2.089410999999984,75.933609
2.0995060000000194,71.461525
2.1001529999999775,71.591896
2.123738000000003,68.888519
2.140371000000016,74.013657
2.1505339999999933,74.782295
2.153429000000017,70.706192
2.154809,75.960945
2.1645899999999756,75.922379
2.1822220000000243,69.704292
2.211390999999992,71.719749
2.22422899999998,75.031822
2.245687999999973,57.271309
2.2979010000000244,65.976921
2.304323000000011,74.963112
2.324610000000007,75.601448
2.328329999999994,71.989906
2.354806999999994,67.558258
2.3961360000000127,66.157463
2.424396999999999,58.543472
2.426979000000017,58.642113
2.4329890000000205,74.56427
2.4419560000000047,71.900742
2.4548320000000103,58.52914
2.4572130000000243,68.003754
2.469703999999979,71.327599
2.4791890000000194,69.128586
2.5129909999999995,58.946114
2.5313859999999977,67.348976
2.550003000000004,75.140594
2.560880999999995,67.397789
2.6023989999999912,70.394653
