RA,DEC
0.9680329999999913,64.869858
1.0017680000000269,56.134872
1.0252649999999903,1.51902
1.0378939999999943,74.78434
1.0467409999999973,71.125237
1.0562439999999924,0.646679
1.078066999999976,56.160255
1.0926529999999843,73.872002
1.108179000000007,70.199631
1.1519349999999804,16.297689
1.1693030000000135,71.791084
1.2057480000000282,69.700035
1.2246700000000033,73.385124
1.2494029999999725,70.94326
1.255156999999997,-0.188197
1.275496999999973,74.105217
1.3204700000000003,0.128146
1.3272910000000024,70.211472
1.3742550000000051,70.375511
1.3746399999999994,75.464272
1.385875999999996,74.120728
1.391711999999984,74.585434
1.500774999999976,73.358253
1.5216950000000224,70.59243
1.5406300000000215,75.296028
1.5575069999999869,73.812096
1.5788469999999961,57.816875
1.624413000000004,58.201904
1.632407999999998,1.642969
1.6485099999999875,69.692001
1.6573040000000105,70.53904
1.6955500000000256,75.142418
1.725168999999994,69.449005
1.7627039999999852,59.286446
1.7759130000000027,58.053082
1.7931009999999787,70.926765
1.7982559999999808,74.083565
1.823067999999978,57.878559
1.8292920000000095,58.898308
1.8379370000000108,0.266823
1.8629210000000285,57.411629
1.865224000000012,58.611561
1.8678199999999947,71.641853
1.8783379999999852,59.219746
1.8819619999999873,74.110321
1.896868999999981,74.130058
1.9121400000000222,71.551025
1.9211900000000242,71.652229
1.9234609999999748,75.750549
1.9558739999999943,69.597816
2.022847000000013,58.743706
2.028931,74.201111
2.0356560000000172,71.570183
2.0391690000000153,59.156094
2.0538700000000176,58.005215
2.0727099999999723,73.885742
2.0742910000000165,58.785007
2.074481999999989,73.638489
2.089410999999984,75.933609
2.0995060000000194,71.461525
2.1001529999999775,71.591896
2.1505339999999933,74.782295
2.153429000000017,70.706192
2.154809,75.960945
2.211390999999992,71.719749
2.245687999999973,57.271309
2.2979010000000244,65.976921
2.304323000000011,74.963112
2.324610000000007,75.601448
2.328329999999994,71.989906
2.3307379999999966,58.606895
2.3961360000000127,66.157463
2.424396999999999,58.543472
2.426979000000017,58.642113
2.4329890000000205,74.56427
2.4419560000000047,71.900742
2.469703999999979,71.327599
2.562603000000024,65.942406
2.5817539999999894,58.610447
2.6023989999999912,70.394653
2.626258000000007,65.892731
2.6351869999999735,73.579651
2.6713720000000194,57.612495
2.6996879999999805,73.697578
2.7213840000000005,69.619164
2.7524119999999925,75.28437
2.768228000000022,67.12822
2.775638000000015,74.593666
2.784507000000019,74.86042
2.793387999999993,1.628387
2.809794000000011,74.5326
2.8189390000000003,75.528381
2.8635679999999866,58.495872
2.8974699999999984,75.522202
2.938801000000012,66.474442
2.9559019999999805,73.620491
3.0989789999999857,74.665848
3.121526000000017,70.612999
3.1222399999999766,73.504562
3.1501589999999737,73.900627
3.170611000000008,75.922226
3.216099999999983,73.742897
3.217533000000003,67.400192
3.2554480000000012,74.262955
3.286057000000028,75.200844
3.338337000000024,62.926537
3.3456860000000006,62.7719
3.351779000000022,71.041931
3.352718999999979,74.803635
3.354497999999978,74.848885
3.355122999999992,71.488777
3.3728269999999725,62.894535
3.373654999999985,75.843338
3.3940600000000245,62.914883
3.4179570000000012,74.016335
3.450401999999997,66.440956
3.454152000000022,65.702644
3.4648179999999797,69.872307
3.4837029999999913,74.901779
3.495362,75.384827
3.507585000000006,62.558479
3.520811999999978,70.579056
3.5256580000000213,67.530586
3.533352999999977,65.932899
3.543295999999998,67.60408
3.546383999999989,66.007889
3.562654000000009,72.000992
3.6221739999999727,63.357025
3.630826000000013,73.349419
3.6399579999999787,73.561394
